ID,Problem Name,Topic,Difficulty,GFG URL,Reason (No LC Equivalent)
1,"Input Output","Learn the basics",Easy,"https://www.geeksforgeeks.org/input-output-in-java/","Conceptual: I/O theory lesson"
3,"If ElseIf","Learn the basics",Easy,"https://www.geeksforgeeks.org/decision-making-javaif-else-switch-break-continue-jump/","Conceptual: Control flow lesson"
4,"Switch Case","Learn the basics",Easy,"https://www.geeksforgeeks.org/switch-statement-in-java/","Conceptual: Switch case lesson"
5,"What are arrays, strings?","Learn the basics",Easy,"https://www.geeksforgeeks.org/arrays-in-java/","Conceptual: Arrays/Strings intro"
6,"For loops","Learn the basics",Easy,"https://www.geeksforgeeks.org/loops-in-java/","Conceptual: For loops lesson"
7,"While loops","Learn the basics",Easy,"https://www.geeksforgeeks.org/java-while-loop-with-examples/","Conceptual: While loops lesson"
8,"Functions (Pass by Reference and Value)","Learn the basics",Easy,"https://www.geeksforgeeks.org/methods-in-java/","Conceptual: Functions/pass-by-value lesson"
10,"Easy and Medium","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern problem (Easy/Medium intro)"
11,"Hard","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern problem (Hard intro)"
12,"Pattern 1","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern 1 — no LC equivalent for pattern printing"
13,"Pattern 2","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern 2 — no LC equivalent"
14,"Pattern 3","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern 3 — no LC equivalent"
15,"Pattern 4","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern 4 — no LC equivalent"
16,"Pattern 5","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern 5 — no LC equivalent"
17,"Pattern 6","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern 6 — no LC equivalent"
18,"Pattern 7","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern 7 — no LC equivalent"
19,"Pattern 8","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern 8 — no LC equivalent"
20,"Pattern 9","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern 9 — no LC equivalent"
21,"Pattern 10","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern 10 — no LC equivalent"
22,"Pattern 11","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern 11 — no LC equivalent"
23,"Pattern 12","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern 12 — no LC equivalent"
24,"Pattern 13","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern 13 — no LC equivalent"
25,"Pattern 14","Learn the basics",Easy,"https://www.geeksforgeeks.org/pattern-programs-java/","Pattern 14 — no LC equivalent"
